id,full_name,email,phone,avatar_url,gender,date_of_birth,department_id,job_title_id,position,level,reports_to_id,hire_date,tenure_years,years_of_experience,contract_type,talent_tier,readiness_level,target_position,mentor_id,performance_score,potential_score,risk_score,overall_score,risk_band,risk_reasons,departure_reasons,comp_technical,comp_leadership,comp_communication,comp_problem_solving,comp_adaptability,comp_target_technical,comp_target_leadership,comp_target_communication,comp_target_problem_solving,comp_target_adaptability,ktp_progress,is_active,created_at,updated_at,department_name,department_short,manager_name,manager_position,mentor_name
57bfb7f8-bd54-4664-933a-9ab568c22674,"Lý Thanh Linh",lý.thanh.linh174@itlgroup.vn,0984033693,,Nữ,1967-09-18,cd30e78f-ff5c-4541-b163-47591c7062cc,,"Nhân viên Hỗ Trợ HN",5,2be94e10-8287-4735-87d1-333c22d64b3a,2011-12-21,14.3,16,"Toàn thời gian","Nòng cốt","Ready in 2 Years","Chuyên viên Cao Cấp",0e1aaa4e-a064-4029-b977-53f3371e166d,48.8,40.9,37.9,44.9,Medium,{},{},37.0,45.9,46.5,48.2,59.1,49.1,62.5,57.0,56.5,75.7,93,t,"2026-04-24 14:16:17.547869+00","2026-04-24 14:19:00.969085+00","Chi Nhánh Hà Nội",HAN,"Lý Hữu Tùng","Chuyên viên KD Cao Cấp","Ngô Mỹ Châu"
f2e28ede-7069-4882-a2c2-a8d6ac10974d,"Đỗ Minh Sơn",dỗ.minh.son0@itlgroup.vn,0985329037,,Nam,1969-12-21,009926be-d820-46e3-a541-a604327b695e,,"Tổng Giám Đốc",1,,2019-04-08,7.0,8,"Toàn thời gian","Tiềm năng","Ready Now",,,68.4,85.9,18.6,77.2,Low,{},{},75.5,59.5,66.0,68.4,78.8,91.0,70.8,77.7,77.6,96.8,97,t,"2026-04-24 14:16:17.547869+00","2026-04-24 14:16:17.924468+00","Ban Giám Đốc",BGĐ,,,
3c287f70-2066-49c8-b44b-c1eca2b26d8d,"Ngô Quốc Bình",ngo.quốc.bình1@itlgroup.vn,0926753883,,Nam,1963-02-18,009926be-d820-46e3-a541-a604327b695e,,"Phó Tổng Giám Đốc Kinh Doanh",1,,2020-05-05,6.0,8,"Toàn thời gian","Tiềm năng","Ready Now",,,90.2,63.6,14.5,76.9,Low,{},{},79.4,75.8,78.8,73.1,83.7,88.8,90.2,97.1,83.5,91.6,8,t,"2026-04-24 14:16:17.547869+00","2026-04-24 14:16:18.096986+00","Ban Giám Đốc",BGĐ,,,
ae2be2da-db24-48bd-8c9e-0510e0a39e2a,"Nguyễn Như Nguyên",nguyen.nhu.nguyen2@itlgroup.vn,0996977837,,Nữ,1973-10-21,009926be-d820-46e3-a541-a604327b695e,,"Phó Tổng Giám Đốc Vận Hành",1,,2019-02-28,7.2,9,"Toàn thời gian","Tiềm năng","Ready Now",,,68.3,69.7,20.9,69.0,Low,{},{},66.0,63.0,63.9,64.0,82.1,73.6,78.9,71.4,74.7,100.0,81,t,"2026-04-24 14:16:17.547869+00","2026-04-24 14:16:18.270086+00","Ban Giám Đốc",BGĐ,,,
b50d6fd6-5c2e-4133-8aee-f3b093b46113,"Hồ Thanh Nguyên",hồ.thanh.nguyen3@itlgroup.vn,0996282117,,Nữ,1961-03-09,4d6bb379-289d-44bf-9a83-46ad5731cf3f,,"Giám đốc Nhân Sự",2,f2e28ede-7069-4882-a2c2-a8d6ac10974d,2018-01-08,8.3,12,"Toàn thời gian","Tiềm năng","Ready Now","Tổng Giám Đốc",,91.6,74.0,6.7,82.8,Low,{},{},94.6,85.5,94.2,80.6,88.8,100.0,100.0,100.0,96.8,100.0,74,t,"2026-04-24 14:16:17.547869+00","2026-04-24 14:16:18.440214+00","Phòng Nhân Sự & Hành Chính",HR,"Đỗ Minh Sơn","Tổng Giám Đốc",
56da6f8b-c8d5-44ae-a3ca-3850cdd37b89,"Vũ Hữu Đức",vũ.hữu.duc4@itlgroup.vn,0981016525,,Nam,1967-09-28,abab928d-5192-4a3d-85f8-ef4d890c225a,,"Giám đốc Tài Chính",2,f2e28ede-7069-4882-a2c2-a8d6ac10974d,2015-09-16,10.6,12,"Toàn thời gian","Tiềm năng","Ready Now","Tổng Giám Đốc",,66.6,63.8,20.7,65.2,Low,{},{},71.6,61.4,57.4,63.4,80.7,90.7,76.6,64.1,81.7,97.0,98,t,"2026-04-24 14:16:17.547869+00","2026-04-24 14:16:18.605138+00","Phòng Tài Chính - Kế Toán",FIN,"Đỗ Minh Sơn","Tổng Giám Đốc",
0854716d-392b-47e0-b6c1-70d9d41e5579,"Đỗ Hữu Long",dỗ.hữu.long5@itlgroup.vn,0995758349,,Nam,1959-10-07,0909368e-fb16-4fc4-a334-d2f0fb4edd91,,"Giám đốc Kinh Doanh",2,f2e28ede-7069-4882-a2c2-a8d6ac10974d,2017-07-06,8.8,11,"Toàn thời gian","Kế thừa","Ready Now","Tổng Giám Đốc",,96.5,90.7,11.6,93.6,Low,{},{},94.8,84.3,100.0,100.0,92.3,100.0,100.0,100.0,100.0,100.0,0,t,"2026-04-24 14:16:17.547869+00","2026-04-24 14:16:18.780937+00","Phòng Kinh Doanh",KD,"Đỗ Minh Sơn","Tổng Giám Đốc",
db0df6e4-b7f1-40b0-9996-b527ca597b60,"Bùi Hữu Hải",bùi.hữu.hai6@itlgroup.vn,0981498611,,Nam,1971-03-22,f2caae64-0618-4ab3-813c-ac0bb1665d71,,"Giám đốc Công Nghệ",2,ae2be2da-db24-48bd-8c9e-0510e0a39e2a,2013-02-12,13.2,17,"Toàn thời gian","Tiềm năng","Ready Now","Tổng Giám Đốc",,92.4,70.8,6.4,81.6,Low,{},{},93.5,94.6,78.0,85.6,77.6,100.0,100.0,87.0,100.0,88.9,27,t,"2026-04-24 14:16:17.547869+00","2026-04-24 14:16:18.94125+00","Phòng Công Nghệ Thông Tin",IT,"Nguyễn Như Nguyên","Phó Tổng Giám Đốc Vận Hành",
998e9d4a-ff27-41a5-b680-4007c52d42c7,"Lý Quang Nghĩa",lý.quang.nghĩa7@itlgroup.vn,0919528530,,Nam,1955-01-08,1c74071c-6f03-479a-bb70-56a002c34c3d,,"Giám đốc Vận Hành",2,3c287f70-2066-49c8-b44b-c1eca2b26d8d,2017-07-22,8.8,12,"Toàn thời gian","Tiềm năng","Ready Now","Tổng Giám Đốc",,79.5,78.1,8.0,78.8,Low,{},{},73.6,72.6,83.8,73.7,74.6,79.6,78.1,93.8,86.4,83.8,62,t,"2026-04-24 14:16:17.547869+00","2026-04-24 14:16:19.104947+00","Phòng Vận Hành & Kho Bãi",OPS,"Ngô Quốc Bình","Phó Tổng Giám Đốc Kinh Doanh",
4145ec08-5925-453e-ace7-08fd3da5ef00,"Phạm Thanh Anh",pham.thanh.anh8@itlgroup.vn,0997705310,,Nữ,1955-02-02,853f65f2-9c5a-4da9-91d4-5d343dbf9c95,,"Giám đốc Marketing",2,3c287f70-2066-49c8-b44b-c1eca2b26d8d,2022-10-16,3.5,5,"Toàn thời gian","Tiềm năng","Ready Now","Tổng Giám Đốc",,80.6,74.2,7.4,77.4,Low,{},{},81.9,72.6,79.0,86.0,70.1,92.9,82.7,96.9,94.7,78.0,57,t,"2026-04-24 14:16:17.547869+00","2026-04-24 14:16:19.27077+00","Phòng Marketing",MKT,"Ngô Quốc Bình","Phó Tổng Giám Đốc Kinh Doanh",
